Epoch: [0][ 0/69] Time 22.410 (22.410) Data  7.584 ( 7.584) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0956e+01 (2.0956e+01) Inst_Loss_A 1.9246e+01 (1.9246e+01) Inst_Loss_B 2.2665e+01 (2.2665e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [5][30/69] Time  0.317 ( 0.603) Data  0.000 ( 0.264) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0133e+01 (2.0161e+01) Inst_Loss_A 1.9648e+01 (1.9367e+01) Inst_Loss_B 2.0619e+01 (2.0955e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [5][40/69] Time  0.324 ( 0.534) Data  0.000 ( 0.200) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0219e+01 (2.0172e+01) Inst_Loss_A 1.9600e+01 (1.9376e+01) Inst_Loss_B 2.0838e+01 (2.0968e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [5][50/69] Time  0.323 ( 0.491) Data  0.000 ( 0.160) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0443e+01 (2.0180e+01) Inst_Loss_A 2.0110e+01 (1.9389e+01) Inst_Loss_B 2.0776e+01 (2.0972e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [5][60/69] Time  0.316 ( 0.462) Data  0.000 ( 0.134) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0716e+01 (2.0166e+01) Inst_Loss_A 1.9877e+01 (1.9399e+01) Inst_Loss_B 2.1556e+01 (2.0934e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [6][ 0/69] Time  8.729 ( 8.729) Data  8.267 ( 8.267) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0403e+01 (2.0403e+01) Inst_Loss_A 1.9705e+01 (1.9705e+01) Inst_Loss_B 2.1101e+01 (2.1101e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [6][10/69] Time  0.310 ( 1.119) Data  0.000 ( 0.752) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0082e+01 (2.0193e+01) Inst_Loss_A 1.9257e+01 (1.9355e+01) Inst_Loss_B 2.0907e+01 (2.1032e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [6][20/69] Time  0.313 ( 0.735) Data  0.000 ( 0.394) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0353e+01 (2.0271e+01) Inst_Loss_A 1.9671e+01 (1.9461e+01) Inst_Loss_B 2.1035e+01 (2.1080e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [6][30/69] Time  0.318 ( 0.601) Data  0.000 ( 0.267) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0333e+01 (2.0217e+01) Inst_Loss_A 1.9540e+01 (1.9427e+01) Inst_Loss_B 2.1125e+01 (2.1007e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [6][40/69] Time  0.317 ( 0.532) Data  0.000 ( 0.202) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0025e+01 (2.0203e+01) Inst_Loss_A 1.9310e+01 (1.9414e+01) Inst_Loss_B 2.0739e+01 (2.0992e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [6][50/69] Time  0.315 ( 0.489) Data  0.000 ( 0.162) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0234e+01 (2.0168e+01) Inst_Loss_A 1.9785e+01 (1.9408e+01) Inst_Loss_B 2.0683e+01 (2.0928e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [6][60/69] Time  0.314 ( 0.460) Data  0.000 ( 0.136) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9957e+01 (2.0175e+01) Inst_Loss_A 1.9175e+01 (1.9417e+01) Inst_Loss_B 2.0740e+01 (2.0933e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [7][ 0/69] Time  8.149 ( 8.149) Data  7.695 ( 7.695) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9922e+01 (1.9922e+01) Inst_Loss_A 1.9352e+01 (1.9352e+01) Inst_Loss_B 2.0492e+01 (2.0492e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [7][10/69] Time  0.331 ( 1.096) Data  0.000 ( 0.701) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0239e+01 (2.0217e+01) Inst_Loss_A 1.9867e+01 (1.9556e+01) Inst_Loss_B 2.0611e+01 (2.0877e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [7][20/69] Time  0.314 ( 0.724) Data  0.000 ( 0.367) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0309e+01 (2.0257e+01) Inst_Loss_A 1.9560e+01 (1.9548e+01) Inst_Loss_B 2.1058e+01 (2.0967e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [7][30/69] Time  0.311 ( 0.592) Data  0.000 ( 0.249) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0525e+01 (2.0290e+01) Inst_Loss_A 1.9670e+01 (1.9543e+01) Inst_Loss_B 2.1380e+01 (2.1037e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [7][40/69] Time  0.314 ( 0.525) Data  0.000 ( 0.188) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 1.9921e+01 (2.0256e+01) Inst_Loss_A 1.9389e+01 (1.9506e+01) Inst_Loss_B 2.0453e+01 (2.1005e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [7][50/69] Time  0.311 ( 0.483) Data  0.000 ( 0.151) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0035e+01 (2.0210e+01) Inst_Loss_A 1.9017e+01 (1.9461e+01) Inst_Loss_B 2.1052e+01 (2.0960e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [7][60/69] Time  0.315 ( 0.456) Data  0.000 ( 0.127) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0601e+01 (2.0216e+01) Inst_Loss_A 1.9855e+01 (1.9460e+01) Inst_Loss_B 2.1347e+01 (2.0972e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
Epoch: [8][ 0/69] Time  6.825 ( 6.825) Data  6.429 ( 6.429) Loss_SelfEntropy 0.0000e+00 (0.0000e+00) Loss_DistLogits 0.0000e+00 (0.0000e+00) Loss_Total 2.0682e+01 (2.0682e+01) Inst_Loss_A 1.9675e+01 (1.9675e+01) Inst_Loss_B 2.1689e+01 (2.1689e+01) Cwcon_Loss_A 0.0000e+00 (0.0000e+00) Cwcon_Loss_B 0.0000e+00 (0.0000e+00)
